X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-73.5693343652401,-7.07167927369845,848f6bdffffffff,4,0,0,,,83.5625567992392
-52.7650832745357,-24.9983270293815,84a82c7ffffffff,4,0,2,3517.59848426492,170,16154.6631370485
-54.5728297180969,-4.26583429251058,848a95bffffffff,4,0,0,1185.33142323568,,1849.67644215492
-48.6690910676473,-12.211011826293,84a8db3ffffffff,4,0,0,1873.08731580857,22,6100.00911456719
-45.2191847066322,-21.4064686813847,84a8a8dffffffff,4,0,2,5733.42701038872,270,47337.0366225839
-57.2670440514972,0.953790329194598,845f20bffffffff,4,0,0,0,,14.6643404071801
-59.2685804907421,-8.35468873489094,848a169ffffffff,4,0,0,0,,10.6241154106756
-39.5862415185565,-8.02636679033643,8480345ffffffff,4,0,1,3444.21589510538,42,20858.161411792
-58.9387106659638,-0.465237876195936,848ad69ffffffff,4,0,0,0,,0
-51.0224977382952,-12.918416120782,84a8cb5ffffffff,4,0,0,605.09220688806,,296.035919074435
-59.2598374267578,-11.3174835365873,848bab1ffffffff,4,0,0,776.159759904432,,1131.42500534491
-71.8542853546175,-8.80218062666908,848b48bffffffff,4,0,0,0,,1546.49021766239
-53.8301812080907,-18.7964523598889,84a8539ffffffff,4,0,1,1117.18978729599,11,2489.47005197406
-57.3117394344977,-0.177583223190449,845f24bffffffff,4,0,0,0,,54.6402219985612
-45.4384761149046,-12.4959146041968,84812b9ffffffff,4,0,0,3607.45237254955,,1749.47712153208
-52.2911606537217,-7.7492376224689,84816b1ffffffff,4,0,0,0,,175.847982471809
-55.3126778400492,2.06110524434939,845f31bffffffff,4,0,0,0,,45.7972294185311
-45.1228459734608,-11.6771310560968,84812b7ffffffff,4,0,1,1503.95366946521,28,14480.0434412416
-43.6526063001703,-18.6358000557811,84a88e3ffffffff,4,0,4,2445.20628379549,65,27275.521767199
-49.3612524707363,-1.09065647246711,8480443ffffffff,4,0,0,0,1,3364.1207704246
-64.2988569631428,3.60145032569098,848acb3ffffffff,4,0,0,0,,110.246228132397
-57.7811467006485,-8.52884188389486,848b8b5ffffffff,4,0,0,0,,57.1248106546409
-64.935549512466,-8.36008666137304,848a2e3ffffffff,4,0,0,0,,24.8422963562189
-69.6416603790661,-7.42414446051725,848b593ffffffff,4,0,0,0,,618.624891739804
-45.5389242315926,-10.583492351171,84810d3ffffffff,4,0,0,4182.62978365458,,702.351901408285
-47.503230242269,-22.7611180065352,84a8117ffffffff,4,2,9,15170.6265187971,10039,1120658.52437935
-53.6786666032444,-22.3257726393686,84a8767ffffffff,4,0,2,3015.20749278856,155,29505.5839339644
-49.0499760898873,-0.263197187657693,8480401ffffffff,4,0,0,0,,6698.32800196111
-60.5821319160852,-7.78852836572374,848a155ffffffff,4,0,0,2.71470359657848,,124.627115652803
-66.8078716084605,-8.22257678258188,848a2d3ffffffff,4,0,0,0,,77.2506622451656
-53.4269063613485,-11.721824979017,848b901ffffffff,4,0,0,98.703786221083,,569.657715836598
-44.9746081798535,-17.7203856623038,84a8895ffffffff,4,0,0,1800.48188668565,1,897.559209891595
-50.2999321789966,-26.1434604419459,84a822bffffffff,4,0,4,4000.30697781723,316,73766.0665959269
-69.4676965297386,-8.91385474116227,848b5d1ffffffff,4,0,0,1977.24707721827,5,5465.46864857245
-40.6791332371752,-19.6386878096157,84a891bffffffff,4,3,3,4908.91090944238,816,139111.083549023
-49.5834362356794,-22.6411309721026,84a8037ffffffff,4,1,4,3350.92076173519,285,18817.7838313431
-57.367371025786,-8.47279279573213,848aa49ffffffff,4,0,0,0,,10.9019391567563
-68.2808529094642,0.494174980228165,848a5bbffffffff,4,0,0,0,,52.3887275063116
-40.7939968645961,-17.813234116669,84a8985ffffffff,4,0,1,2095.12877259963,64,16065.0653206557
-53.5607942611861,-23.0096502671162,84a876dffffffff,4,0,1,2564.6594042229,29,12004.2843185868
-41.7373158189971,-12.6689610215827,8481005ffffffff,4,0,2,2581.76110621094,63,36520.0390655398
-60.0786698929315,-8.46165140702642,848a141ffffffff,4,0,0,0,,18.8327591246634
-51.431223398469,-28.5366721468348,84a90abffffffff,4,0,1,2228.66362789307,5,5117.35396639258
-47.9996078673835,-3.97127823145893,84815b7ffffffff,4,0,0,1176.41731892027,1,4354.25336149335
-43.8640923549737,-21.2180004609179,84a885bffffffff,4,3,6,5256.05639471268,1167,188147.529936761
-55.2175200576374,-2.84460425470839,848a9c9ffffffff,4,0,0,319.577109976164,3,6111.59118711203
-71.3405715407056,-9.50663061218511,848b4c7ffffffff,4,0,0,0,,532.409783081152
-50.6700182080841,-10.9663393940417,8481603ffffffff,4,0,0,379.49281303291,,114.540094247961
-53.6923105505928,-29.629337658004,84a9765ffffffff,4,10,5,6592.11058546107,2097,282332.265574276
-59.2299272123449,-4.2448880974326,848aa83ffffffff,4,0,0,0,,3035.62167094368
-49.0455026832543,-24.3242793748582,84a8063ffffffff,4,2,2,2362.87741572438,82,26950.056554094
-68.3265941107162,-4.28990868370902,848a469ffffffff,4,0,0,0,,20.9648796463734
-55.7156307997664,-12.38466786084,848b863ffffffff,4,1,1,5798.49723406216,497,110764.522561856
-49.1857034375393,-28.3594188641434,84a9183ffffffff,4,5,11,7925.45233557331,1105,211086.660201848
-49.6904101072255,-16.8717270766701,84a8c09ffffffff,4,2,5,4599.73143258334,315,44191.6029649824
-46.1010468298027,-15.2620143354204,84a8d3dffffffff,4,0,0,965.361740452821,,1422.46081817988
-62.4147772058697,-7.66512701141498,848a005ffffffff,4,0,0,330.31657950778,,947.694222478938
-52.4046965840829,-23.2594142279891,84a82b5ffffffff,4,1,9,7963.20100409289,642,152235.6244688
-41.8481986568179,-10.7558804572401,84811ddffffffff,4,0,0,941.960754350826,2,2342.71351314615
-64.0610671656036,-4.22229185700078,848a0b5ffffffff,4,0,0,10.2365854570071,,674.037167837494
-55.5168452275006,-10.8608133946269,848b9c9ffffffff,4,0,1,2560.34852660235,84,30426.1704623462
-62.0253447507628,-10.535118487792,848a351ffffffff,4,0,1,2504.42996410066,18,9827.04415465891
-54.8936926449178,-30.3068565742119,84a974dffffffff,4,1,1,1398.3326790354,190,34966.2988065183
-65.3069934391674,-10.2595203437944,848b525ffffffff,4,0,1,3757.09924484303,48,17694.1434645094
-60.6365352504898,-2.98222418597308,848af47ffffffff,4,0,0,1559.5454532577,12,1718.00730310567
-44.6171836443742,-2.62099581117242,84800d5ffffffff,4,0,2,1259.46725931339,78,36038.6997352086
-55.6841665140567,-22.1330977140285,84a8757ffffffff,4,0,0,2642.90496155956,28,12580.5097609013
-62.6585435279665,-7.33232351939312,848a007ffffffff,4,0,0,0,,347.882244318724
-70.0592240579732,-9.3604804507018,848b4e5ffffffff,4,0,0,0,,1024.73568234814
-49.2536537888849,-7.2859084563185,8481431ffffffff,4,0,0,1364.06743584282,,2892.91808363982
-66.6283833254242,-3.01762115118543,848a50bffffffff,4,0,0,0,,86.8157439716051
-52.2406331278986,-30.179687540576,84a90c9ffffffff,4,0,2,1558.165091402,202,16721.856707681
-69.2391638442487,-3.63320948198798,848a409ffffffff,4,0,0,0,,12650.9682874722
-58.8818133125481,-2.32017600634271,848a8d1ffffffff,4,0,0,46.9338078243796,,807.60296375449
-41.4010364578113,-18.2840842943959,84a8989ffffffff,4,3,4,3386.14634801905,32,19060.6940575987
-57.401509656155,-2.44861585168064,848a8ebffffffff,4,0,0,258.999171457485,,7387.52393890414
-67.0371495353284,-9.74447900836554,848b53bffffffff,4,0,1,3185.26442778781,2,6107.51455203223
-36.8025131273026,-8.30478968495459,8481aa7ffffffff,4,2,5,3934.00502909671,242,98961.4302276969
-54.9378371199818,-10.4085415986503,848b9c5ffffffff,4,0,1,2693.51589731438,92,27144.3802868016
-50.0500676005442,-27.4513132538413,84a8269ffffffff,4,0,3,2864.61441424149,114,32183.8878920078
-53.5080998427344,-13.98694186075,848bb21ffffffff,4,0,0,974.921448326122,,444.701034761965
-54.2939435467577,-29.9711458955838,84a9769ffffffff,4,0,0,1240.38050435557,23,2578.40437006205
